SOURCE_ID,best_classification,int_average_g,num_clean_epochs_g,ra_column,dec_column,b_column,parallax,distance_pc,period,g_mag,uwe,gbp_minus_grp,excess_ratio,flux,flux_err
3700131612748704000,RRab,12.514988,55,185.71992277236302,1.297527811632046,63.27642018895064,0.4437745582465152,2253.3964181076453,0.5429954404117662,12.574398,1.6065086,0.5730829,1.0163082851364065,175868.34567287078,1961.6683
3714772262906904704,RRab,13.851359,44,203.8335271313411,4.965265627803375,65.49164789675856,0.25633434000365035,3901.1550305189676,0.6162290600759347,13.878398,0.9086351,0.65019035,0.9466349379095484,52916.0861820507,307.39285
3717352885416905984,RRab,11.981783,37,200.5881071358682,5.88629877641593,67.52057071088163,0.4726663845615311,2115.6571160177805,0.5645317079692876,12.214666,1.2952046,0.6466875,0.9496933451199735,244951.5201014471,2267.7742
3719179552187828992,RRab,13.440133,33,200.91800299036544,7.212647527259573,68.66618260515463,0.274366801687668,3644.7558299650764,0.5277718421742044,13.532721,1.0723937,0.6892042,0.9132234729403508,72754.28906601587,773.0452
3727833391597367424,RRab,10.901933,42,209.69308079142908,12.951586359270129,68.80878454163745,0.7722731001961485,1294.8787155036366,0.6507536834394615,10.996892,1.2732662,0.6418314,0.9539506500656895,751951.8705815554,6661.6807
3731723090075245696,RRab,11.674867,45,200.04819969340105,9.187725579160595,70.81643285109054,0.5577167596167709,1793.0248334067264,0.6569048740353376,11.764955,1.1345222,0.6408558,0.9548085987742698,370650.7177225632,2669.215
3737667393532367616,RRab,13.1997175,54,197.18468166756443,13.402293687319402,75.69081408986534,0.3124025279628002,3200.998425080211,0.45938160273003326,13.240041,1.7138907,0.52681446,1.060553656469156,95264.32662538714,1297.2529
3746165759421557376,RRab,12.864044,69,200.49477028729999,16.70491060193653,77.40613900430972,0.25786489850195726,3877.9997037573135,0.5841203258658204,12.943301,1.312071,0.5545645,1.0337916747763694,125206.33920834697,1548.4327
3762382417764062592,RRab,12.013282,16,161.67412222602348,-8.375763647040927,43.38050537242418,0.529997125072497,1886.802687586678,0.4228183679056451,12.037751,1.1992731,0.549386,1.038733453478287,288301.1981698251,5859.3647
3765574712337027456,RRab,10.80758,27,153.35050868016697,-13.138252752372075,34.404293346546076,1.0008034156457375,999.1972293127925,0.5377237970118451,10.826389,1.091896,0.64532566,0.9508861644553417,879814.0879583963,10433.649
3776872507845144960,RRab,13.055671,24,162.00206131027056,-5.5090852410802835,45.78285563823193,0.30888088939759223,3237.4939153739538,0.6045700508633605,13.059871,1.497478,0.5953388,0.9956876517259307,112460.12170650836,1673.635
3785081118060878336,RRab,12.00569,28,167.8414069519628,-5.892082828247978,49.061622819465654,0.4453030510200071,2245.661685248752,0.6728687446134998,12.146476,1.5056145,0.6224079,0.9711702285860483,260829.39860108786,4119.5596
3797319369672686592,RRab,10.946384,35,173.47694370623447,-0.033455445707471464,57.064230490081094,0.7602273705035114,1315.3959444234206,0.6263375722746239,11.085033,1.2027833,0.59882927,0.9924920299646337,693319.307594284,9186.035
3799785574253882752,RRab,12.795615,31,175.88415230844495,2.698613226711965,60.66107295879183,0.32003361878151,3124.671726074846,0.5949912328896658,12.806755,1.0642425,0.5884981,1.0019809764921634,141985.71742436767,1485.3994
3817504856970457984,RRab,12.380803,30,170.8436733138869,6.6346286387559275,60.72096372723795,0.4482523640295588,2230.886170929503,0.5719755113180003,12.4637985,1.2729404,0.6582289,0.939652177300908,194727.53644128426,1568.3203
3826133514987430656,RRab,13.234365,47,146.11518596434914,-3.6966545687130736,35.39438121509023,0.2522062339099075,3965.0090503203724,0.6494648549720309,13.319165,1.6566705,0.64568996,0.9505666841031006,88568.75084659671,1136.1288
3834029481648387968,RRab,11.845472,23,147.03919260764712,0.0021212260867012373,38.335091384808436,0.46998302687876625,2127.7364134640407,0.8339198454747654,11.865098,1.0667734,0.78291225,0.8377106357055796,337992.97622788534,2262.585
3844396540563624832,RRab,11.697707,44,142.28065991626687,1.456713329395275,35.20937516561878,0.613325049466868,1630.4568040539818,0.6343515568959289,11.747969,1.1731727,0.7196579,0.8879648405965308,376495.1005070569,2061.6494
3850016041413970688,RRab,12.545314,24,149.03234751332764,4.851763749160223,42.71342465180032,0.38079430753936766,2626.089676764974,0.4873771765171405,12.637784,1.227268,0.60491085,0.9869480333269077,165894.97907043103,3175.3645
3850858228666022912,RRab,12.254774,47,144.12397979296804,4.111174474185082,38.18183464736553,0.49884072346263636,2004.647882511743,0.523869613705307,12.348047,1.2512116,0.571434,1.0178531448133454,216634.61862470623,2900.4504
3879451204640369792,RRab,14.226292,33,149.46204640883136,10.467311518777146,45.95132546197327,0.3203407298953199,3121.6760988425585,0.568118469718483,14.317864,1.1463399,0.7269354,0.8820328943178498,35302.136704301396,439.5386
3892831505236595456,RRab,12.071058,41,179.93893024780644,2.8627755582593943,62.76608525781395,0.43182064171805457,2315.7762816093505,0.7676931607940239,12.092837,1.2355824,0.65615654,0.9414472038381732,274038.63809281593,1875.2206
3899734479753746176,RRab,13.3362465,44,181.1203839934022,8.28019861140218,68.11869421520042,0.26976134669369795,3706.9803078031623,0.5382652831838497,13.349487,1.131765,0.60490227,0.9869556589903247,86129.50408338469,757.57654
3912789462346376576,RRab,13.098277,28,174.93036573632244,9.135835624600308,65.28875672116675,0.342417400636939,2920.412333426618,0.6329303202731283,13.138803,1.3386406,0.6350393,0.9599380895635451,104574.48189139205,1373.434
3915944064285661312,RRab,12.239357,29,174.80926143283443,10.327207251564337,66.09566661942551,0.40875002006098654,2446.4830603575197,0.598654380088979,12.34316,1.2861903,0.59654045,0.9945861859142973,217611.9314310976,3142.901
3915998558830693888,RRab,11.420898,31,174.63612343971593,10.561430891938802,66.1498930072581,0.6429983882978711,1555.2138515419524,0.4779803804691224,11.584578,1.5454228,0.62718296,0.9669091770641397,437638.7237024606,6447.066
3917248286939430144,RRab,12.133602,34,173.26558609698114,12.153726918732636,66.29956973507552,0.40496743598952795,2469.334349208905,0.7268274451005157,12.170048,1.0658475,0.6542988,0.9430597813098679,255227.5962737955,1948.0156
3924834680948056576,RRab,12.060472,26,176.63574395678137,16.2311621956068,71.43082224795765,0.42187538348350523,2370.368215710549,0.7388989207841145,12.042683,1.0692399,0.63156223,0.9630163808676951,286994.59667970415,2216.65
3928818142855926656,RRab,13.137012,29,189.60954005297884,13.01596757357182,75.56365293370446,0.3400431933111538,2940.8028734895393,0.5743588270953515,13.178506,1.3548924,0.61769485,0.9753950483618481,100819.49365194316,1206.9326
3933770858623592960,RRab,13.403615,28,188.589232056827,16.128614592692156,78.30909138484962,0.2967941853294095,3369.3382466038142,0.43209268472186413,13.579199,2.2972322,0.65805817,0.9397994711897745,69705.54586624325,1256.8788
3940418398550912512,RRab,11.318995,59,199.4638238681458,20.780614754499688,81.24478758972295,0.7033961505168485,1421.673973144735,0.5989338330520482,11.41955,1.4352473,0.6382456,0.9571068843948518,509479.52222392615,3681.9932
3944929149299278976,RRab,12.312396,45,196.28322260787348,23.27842218776525,85.05924377278454,0.48063526045316035,2080.5797707333495,0.46890759020658695,12.491051,1.6036088,0.6000376,0.9913880355972131,189900.70808941574,2494.3938
